Unique identifier,Name,Colour,Small description,Heat Coefficient,Rain protection,Category
,Plain white tee,Blanco,,2,0,Top
,"""Drink Water"" black tee",Negro,,2,0,Top
,"""Gastar en amigos"" white tee",Blanco,,2,0,Top
,Purple tee,Morado,,2,0,Top
,Blue shirt,Azul claro,,2,0,Top
,White shirt,Blanco,,2,0,Top
,Black shirt,Negro,,2,0,Top
,Black hoodie,Negro,,6,0,Overtop
,White hoodie,Blanco,,6,0,Overtop
,Grey hoodie,Gris,,6,0,Overtop
,Shirt jacket,Marrón,,7,0,Overtop
,Blue Rain jacket,Azul oscuro,,7,1,Overtop
,North Face Coat,Negro,,10,1,Coat
,Element Coat,Marrón oscuro,,9,1,Coat
,Elegant coat,Negro,,8,0,Coat
,Long jeans,Azul oscuro,,6,0,Bottom
,Water-resistant jeans,Marrón oscuro,,6,1,Bottom
,Ski pants,Negro,,9,1,Bottom
,Brown shorts,Marrón,,3,0,Bottom
,Skinny jeans,Negro,,6,0,Bottom
,Long grey sweatpants,Gris,,6,0,Bottom
,Short grey sweatpants,Gris,,2,0,Bottom
,Short pants,Verde oscuro,,2,0,Bottom
,White sneakers,Blanco,,3,0,Shoes
,black Vans,Negro,,3,0,Shoes
,Flip flops,Gris,,0,0,Shoes
,Birkenstocks,Gris,,2,0,Shoes
,Water boots,Negro,,8,1,Shoes
,Blue nikes,Azul claro,,2,0,Shoes
,White Nike Blazer,Blanco,,7,1,Shoes
,White Nike SB Nyjah,Blanco,,3,0,Shoes
,Grey Nike Waffle,Gris,,2,0,Shoes
,Sunglasses,Marrón oscuro,,0,0,Complement
,Soft gloves,Gris oscuro,,8,1,Complement
,Brown beanie,Marrón oscuro,,7,1,Complement
,Element beanie,Marrón oscuro,,7,1,Complement